"id","title_zh","border_color","status","visibility","confidence","border_colors","source_images","visible_text","notes"
"SMC-015","金錢輕鬆不費力地朝我而來","blue","needs_review","clear","0.98","blue","source_images/05_table_blue_green.webp","如果你過去一直以為金錢只能透過工作而來，那就放掉這個念頭吧。你只要繼續那樣想，就一定會有同樣的經歷，你理解嗎？現在就調整你的金錢觀吧。
金錢可以從所有方向、任何方向來到你身邊！",""
"SMC-016","幸福會吸引你想要的一切","blue","collected","partial","0.86","blue","source_images/05_table_blue_green.webp","想要獲得人生渴望的一切，
捷徑就是現在就要開心起來並感覺快樂！
這是吸引金錢和實現願望最快的方法。
這些快樂的感覺會散播出去，
為你吸引所有能讓你快樂幸福的一切
回到你的生命中，
不僅包括豐盛的錢財，還有你想要的一切。",""
"SMC-017","感恩是實現心願的快速通道","blue","collected","clear","0.88","blue","source_images/05_table_blue_green.webp","想要大幅加快願望成真的速度，
就把感恩整合到創造的三個步驟中：
要求、相信、接收。
進行第一步「要求」時，
寫下你想要的事物，
不過每句話都要改寫成這個強大的句型：
「我很開心也很感激，因為我有……」",""
"SMC-018","你的人生就在你手中","blue","collected","clear","0.93","blue","source_images/06_table_blue.webp","「每個覺醒的人，在理解正確思考的力量之後，都會做出這樣的結論：人可以改變自己……並主宰自己的命運。」
——克里斯蒂安·D·拉爾森（Christian D. Larson），新思想運動精神領袖",""
"SMC-019","思而後行","pink","collected","clear","0.98","blue","source_images/06_table_blue.webp","養成習慣，每天都先在腦海中思考人生事件的後果。
在你去任何地方、做任何事之前，都讓宇宙之力為你鋪路，你只要在事前思考你想要的發展就行了。如此一來，你就是在有意識地開創人生。",""
"SMC-020","相信你已經收到了","blue_green","collected","clear","0.98","blue_green","source_images/06_table_blue.webp","宇宙不需要時間來實現你的願望。你體驗到的不準時是因為你還不相信、不知道、沒感覺到你已經擁有了。
這是因為你把自己放在「想要」的頻率上。當你把自己放在「已經擁有」的頻率上，你想要的就會出現。",""
"SMC-021","人生應該輕鬆不費力","light_blue","collected","clear","0.98","light_blue","source_images/06_table_blue.webp","當你採取行動讓某件事發生時，會感覺很困難，好像在河中逆流而上。當你採取行動去接收時，會感覺自己順著河中的水流，輕鬆不費力。
那就是和宇宙順流的感覺。",""
"SMC-022","吸引力法則一直在聽","blue","collected","clear","0.98","blue","source_images/06_table_blue.webp","如果你覺得人生很困苦、艱難，根據吸引力法則，你的人生就會變得很困苦、艱難。
現在就改口：
「人生輕鬆不費力。」
「人生很精采。」
「所有的好事都會降臨在我身上。」
「一切都會順順利利。」",""
"SMC-023","善意是雙贏的","blue","collected","clear","0.97","blue","source_images/06_table_blue.webp","當你對別人懷有惡意，
你將會體驗到那些惡意應驗在你身上。
你不能用惡意傷害別人，
你只會傷害自己。
如果你對他人抱有善念，猜猜誰會受惠？
就是你！",""
"SMC-024","注意力就是一切","blue","collected","clear","0.96","blue","source_images/07_table_teal.webp","如果你在思考某件事、在談論某件事，
你就是在邀請這件事來到你的生命中。",""
"SMC-025","多想想你要什麼","light_blue","collected","clear","0.95","light_blue","source_images/07_table_teal.webp","人之所以沒有活在夢想中的人生裡，
唯一的原因在於：
他們太常想著自己不想要什麼，
而不是他們想要什麼。
事實上，如果你只想著你要什麼，
長此以往，你就只會得到你所想要的。",""
"SMC-026","在你動念之前……","light_blue","collected","clear","0.96","light_blue","source_images/07_table_teal.webp","「每個意念都會成真，除非你用相反的意念去抵消它。」
——萊斯特·雷文森（Lester Levenson），生命導師",""
"SMC-027","改變人生就靠感恩","teal","collected","clear","0.86","teal","source_images/07_table_teal.webp","感恩會致富，抱怨會致貧，
這是你這輩子的黃金守則，
適用於身體健康、人際關係、工作與財富。",""
"SMC-028","你擁有無懈可擊的健康","teal","collected","clear","0.98","teal","source_images/07_table_teal.webp","消除疾病的途徑，並不是打倒病魔。你想什麼，就會吸引什麼，所以如果你一直想著要打倒病魔，那麼你就會吸引更多病魔。將你的所言所思都專注於健康和幸福上，並想像自己完全健康幸福的模樣。",""
"SMC-029","珍惜會強化人際關係","green","collected","clear","0.96","green","source_images/07_table_teal.webp","想要讓一段很難經營的關係變得更好，
我們就要把注意力集中在欣賞對方。
當我們抱怨一段關係時，
就只會吸引更多想要抱怨的事情。
在接下來的 28 天裡，
寫下你欣賞對方的所有事情，
每天都多寫一點點，
你將會看到你的珍惜如何化腐朽為神奇。",""
"SMC-030","數算你的祝福","green","collected","clear","0.97","green","source_images/08_table_green.webp","養成每天坐下來寫下十項祝福的習慣。
即使你只做這個練習，
它也能翻轉你的人生。",""
"SMC-031","想要有精采的一天，就讓早晨充滿感恩之心","green","collected","clear","0.94","green","source_images/08_table_green.webp","你可以和我一樣，
下床走去浴室或廚房的時候
就踩著感激的步伐，
每踏出一步都說聲「謝謝」。
你正在感謝
你所擁有的一切、你愛的每個人，
還有今天即將發生的一切好事！",""
"SMC-032","現在就選擇幸福","green","collected","clear","0.98","green","source_images/08_table_green.webp","抗拒會阻礙你的願望實現。當你不確定自己是否能獲得想要的一切，而開始感到焦慮或煩惱時，就是在創造抗拒和阻礙。
只要在願望還沒實現之前，現在找到一種感覺幸福快樂的方式，你就可以消除這些創造抗拒、阻擋心願的負面感受。",""
"SMC-033","感激你所擁有的一切","green","collected","clear","0.97","green","source_images/08_table_green.webp","當你對你所擁有的一切心存感激，
你不僅會看到你擁有的事物越來越多，
同時你也會打開一道大門
迎接你渴望的一切，
迎來真正幸福圓滿的人生。",""
"SMC-034","你抗拒的一直都在","yellow_green","collected","clear","0.84","yellow_green","source_images/09_table_olive_yellow.webp","這表示無論你多麼強烈地不想要某事，
你都在邀請那件事靠近你。
不妨把你的強烈情緒投放在
你想要的事物上，
將你想要的事物引向你！",""
"SMC-035","注意力就是實踐力","olive","collected","clear","0.95","olive","source_images/09_table_olive_yellow.webp","加上情緒的專注就是強大的實踐力！",""
"SMC-036","過最棒的一天","olive","collected","clear","0.94","olive","source_images/09_table_olive_yellow.webp","你是否為今天做了計畫？
還是你打算讓昨天的思緒
繼續主導著今天？
以下這些話能帶給你好的開始：
「今天所有的好事都會降臨到我身上。」
「今天我的願望都能實現。」
「今天魔法和奇蹟會一直跟隨著我。」",""
"SMC-037","你有能力締造世界和平","yellow","collected","clear","0.96","yellow","source_images/09_table_olive_yellow.webp","這個世界會變化，我們的地球會變化，
如同每個人的內心都在變化。
一個人可以鼓舞許多其他人，
他們再鼓舞數千人，數千人鼓舞數百萬人，
數百萬人鼓舞數十億人，
我們就是用這個方式
為地球帶來和平、和諧、和睦。",""
"SMC-038","幸福吸引幸福","orange","collected","clear","0.98","orange","source_images/10_table_orange_red.webp","這個公式就是這麼簡單。你必須現在就感到幸福快樂，才能透過吸引力法則把讓你感到幸福快樂的一切吸引到生命中。",""
"SMC-039","你的力量就在心中","orange","collected","clear","0.94","orange","source_images/10_table_orange_red.webp","當你越想越糟時，
這個方法可以讓你馬上停下來：
深吸一口氣，把注意力集中在心口，
專注感受心中的愛。
吐氣的時候依然將注意力集中在心口，
感受心中的愛。
重複這個動作總共七次。
你會感覺更加平靜、更加輕盈，
負面的想法和感受將會有所停止。",""
"SMC-040","你的自然狀態就是喜悅","red","collected","clear","0.93","orange","source_images/10_table_orange_red.webp","當你感到痛苦時，是不是覺得每一滴精力都被抽乾了？負面的想法和悲慘的感覺需要耗費很多能量。
而回到喜悅的狀態是如此簡單。只需要一個正面的意念，然後是另一個，再接下去另一個。",""
"SMC-041","你只需要保持正面和善意","orange","collected","clear","0.97","orange","source_images/10_table_orange_red.webp","想要活出最精采的人生，其實很簡單：
正面的意念、正面的話語、善意的舉動。
就這樣！",""
"SMC-042","感謝你所面對的挑戰","red","collected","clear","0.98","red","source_images/10_table_orange_red.webp","正是那些人生中最艱難而且顯然很「負面」的事情，讓我們深刻想要改變自己的生活。請心懷感激，因為這些事賦予你力量和決心，讓你想創造不同的際遇，你將會改變你的人生。",""
"SMC-043","金錢不能帶來快樂——但快樂能創造金錢","red","collected","clear","0.96","red","source_images/10_table_orange_red.webp","如果你一直想著「我需要錢」，
那你就會一直吸引「需要錢」的境遇。
你現在必須找到不用錢就能快樂的方式，
現在就感到心滿意足、沉浸在喜悅中，
因為美好的感覺
才是把金錢吸引過來的關鍵。",""
"SMC-044","你是永恆的存在","white","collected","clear","0.98","white","source_images/11_table_pink_white.webp","看著你周遭的世界。
沒有你的話，這一切都不存在。
不管你原本對自己有什麼誤會，
你現在已經認識真正的自己了。
你是宇宙的主人。
你是這王國的繼承者。
你是生命的完美傑作。",""
"SMC-045","地球為你而轉動","pink","collected","clear","0.98","pink","source_images/11_table_pink_white.webp","海洋為你漲潮退潮。鳥兒為你歌唱。
太陽為你日升日落。星星為你閃耀。
你所見的一切美好，
你所經歷的一切奇妙，都為你而現。",""
"SMC-046","你想什麼，你就成為什麼","pink","collected","clear","0.98","pink","source_images/11_table_pink_white.webp","你越常運用自身的力量，
就越能吸引它到你身邊。
終有一天，你將不再需要練習，
因為你就是力量，你就是完美，
你就是智慧，你就是聰穎，
你就是愛，你就是樂。",""
"SMC-047","現在就給自己好心情","pink","collected","clear","0.98","pink","source_images/11_table_pink_white.webp","現在就要開心，現在就感受好心情，這是你唯一需要做的事情。
如果這是你從這套牌卡得到的唯一訊息，那麼你已經獲得了《秘密》裡最重要的一部分。",""
"SMC-048","先從內在活出你的夢想","orange","collected","clear","0.99","orange","source_images/manual_entry","在你的腦海中看見夢想，在你的心中感受夢想，直到夢想變得無比真實，然後它就會在你的生命中成真。",""
"SMC-049","別執著在負面的想法","light_blue","collected","clear","0.99","light_blue","source_images/manual_entry","完全用不著為負面想法煩惱。
你只要每天盡可能想著愉快的念頭，
就能將負面的念頭抵消。
每天練習，在短短時間內
你就能徹底重新訓練你的心思，
持續產生正面的想法。",""
"SMC-050","善意能改變一切","yellow","collected","clear","0.99","yellow","source_images/manual_entry","想要現在就看到你的人生開始好轉嗎？
那就成為最善良的自己，
去對待你遇見的每個人。",""
"SMC-051","你的格局越高，世界越隨你的心意而動","yellow","restored_from_text","clear","1.0","unknown","","因為你能思考的善念沒有上限、你能說的好話沒有上限、你能做的善舉沒有上限，所以你的頻率要多高就有多高，沒有上限。
你的正面頻率會像漣漪一樣，擴散到整個地球和這顆行星上的一切。","Restored from Manifestation_Cards_Full_Text.txt provided by user."
"SMC-052","讓過去留在身後","red","restored_from_text","clear","1.0","unknown","","如果你專注於過去的難關和困境，你就會吸引更多難關和困境。如果你還耿耿於懷，或繼續責怪過去某個人做了某件事，那麼這股負面能量會傷害到你。
不管是什麼，都放下吧。為了自己，放下它，然後看著你人生在各方面變得更好。","Restored from Manifestation_Cards_Full_Text.txt provided by user."
"SMC-053","充沛無虞","unknown","restored_from_text","text_only","1.0","unknown","","宇宙透過吸引力法則
向你和所有人提供一切——
只要你做出選擇。
你想要讓你和每個人
都獲得充沛無虞的資源嗎？
那就做出這個選擇：
「一切都很豐盛。」
「供應是無限的。」
我們每個人都有能力透過意念
取用無窮無盡、無形無相的資源——
只要我們做出選擇。","Restored from Manifestation_Cards_Full_Text.txt provided by user."
"SMC-054","樂翻天","gold","restored_from_text","text_only","1.0","gold","","利用這個強效的想像技巧，你可以在三十秒內提升自己的頻率，加快願望實現的速度，改變你的人生。
想像你剛收到你的願望，看到自己開心地跳起來！","Restored from additional extracted image text provided by user."
"SMC-055","感覺具有強大的實踐力","white","restored_from_text","text_only","1.0","white_gold","","請記住：煩惱會引來更多煩惱，不幸會引來更多不幸，恐懼會引來更多恐懼。
也請你記住：喜悅會引來更多喜悅。幸福會引來更多幸福。愛會吸引更多愛。","Restored from additional extracted image text provided by user."
"SMC-056","愛是最強大的力量","pink","restored_from_text","text_only","1.0","pink","","如果你能以愛包裹每一個想法，如果你能愛每個人和每件事，你的人生就會徹底翻轉。","Restored from additional extracted image text provided by user."
"SMC-057","真正的你","unknown","restored_from_text","text_only","1.0","unknown","","我很安靜、我很完美、我很喜悅、我有力量、我有愛心、我很和諧、我很快樂。","Restored from user-provided extracted card text."
"SMC-058","一切都源於內心","unknown","restored_from_text","text_only","1.0","unknown","","外在處處是不穩定的世界，這對所有人是一樣。這不是你能掌控的事，你能做的就是改變你的內心。一旦你改變了你的內心感受，你的世界也將跟著改變。","Restored from user-provided extracted card text."
"SMC-059","想像力就是實踐力","unknown","restored_from_text","text_only","1.0","unknown","","壓力、焦躁、和恐懼都是對未來所有想像。你想什麼，你的心就在那。你可以想像美好的事物，那麼你就是在創造一個幸福的未來。下次你恐懼的時候，詢問自己：「我想要什麼？」然後去想像你想要發生的愉快畫面。","Restored from user-provided extracted card text."
"SMC-060","寫下你想要實現的秘密","unknown","restored_from_text","text_only","1.0","unknown","","寫下你想要實現的秘密。在你入睡之前，思考你的意念，合上你的眼。想像並感覺到你想要實現的夢想。想像在第二天醒來的時候，你已經擁有你夢寐以求的未來。","Restored from user-provided extracted card text."
